1. ERROR :	o0,	id = 8, 	expected = 0xffffffc8,  		actual = 0xffffffa9 (mask=0xffffffff) (cpu-id=0)
2. ERROR :	o1,	id = 9, 	expected = 0xfffffff0,  		actual = 0xffffffe9 (mask=0xffffffff) (cpu-id=0)
3. ERROR : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0xaa000000, 		addr = 0xffffffa8 (mask=0xffffffff)
4. ERROR : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0xaaaaaaaa, 		addr = 0xffffffa4 (mask=0xffffffff)
5. ERROR : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0xaaaaaaaa, 		addr = 0xffffffa0 (mask=0xffffffff)
6. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xffffffc0 (mask=0xffffffff)
7. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xffffffdc (mask=0xffffffff)
8. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xffffffd8 (mask=0xffffffff)
9. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xffffffd4 (mask=0xffffffff)
10. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xffffffd0 (mask=0xffffffff)
11. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xffffffbc (mask=0xffffffff)
12. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xffffffb8 (mask=0xffffffff)
13. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xfffffff0 (mask=0xffffffff)
14. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xfffffff4 (mask=0xffffffff)
15. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xfffffff8 (mask=0xffffffff)
16. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xffffffec (mask=0xffffffff)
17. ERROR : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0xaaaaaaaa, 		addr = 0xffffffe8 (mask=0xffffffff)
18. ERROR : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0xaaaaaaaa, 		addr = 0xffffffe4 (mask=0xffffffff)
19. ERROR : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0xaaaaaaaa, 		addr = 0xffffffe0 (mask=0xffffffff)
20. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xffffffdc (mask=0xffffffff)
21. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xffffffb4 (mask=0xffffffff)
22. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xffffffb0 (mask=0xffffffff)
23. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xfffffff4 (mask=0xffffffff)
